"generation","best_feasible","penalty_weight","instance","seed"
7,13129507,0.1,3,1003
8,13129507,0.1,3,1003
9,13129507,0.1,3,1003
10,13129507,0.1,3,1003
11,13129507,0.1,3,1003
12,13129507,0.1,3,1003
13,13129507,0.1,3,1003
14,13129507,0.1,3,1003
15,13129507,0.1,3,1003
16,13129507,0.1,3,1003
17,13129507,0.1,3,1003
18,13129507,0.1,3,1003
19,13129507,0.1,3,1003
20,13129507,0.1,3,1003
21,13129507,0.1,3,1003
22,13129507,0.1,3,1003
23,13129507,0.1,3,1003
24,13129507,0.1,3,1003
25,13129507,0.1,3,1003
26,13129507,0.1,3,1003
27,13129507,0.1,3,1003
28,13129507,0.1,3,1003
29,13129507,0.1,3,1003
30,13129507,0.1,3,1003
